model,t,mean_error
linear,3.156,0.8947189387785113
linear,3.16,0.8948435189459104
linear,3.164,0.8950515830239862
linear,3.168,0.895343194658429
linear,3.172,0.8957183781974081
linear,3.176,0.896177110990245
linear,3.18,0.8967193147959275
linear,3.184,0.8973448466090754
linear,3.188,0.8980534892049248
linear,3.192,0.8988449416965013
linear,3.196,0.8997188103879068
linear,3.2,0.9006746001969649
linear,3.204,0.901711706906449
linear,3.208,0.902829410482932
linear,3.212,0.9040268696733003
linear,3.216,0.9053031180494567
linear,3.22,0.9066570616215543
linear,3.224,0.9080874780810605
linear,3.228,0.9095930176707101
linear,3.232,0.9111722056140683
linear,3.236,0.9128234459789241
linear,3.24,0.9145450268018298
linear,3.244,0.9163351262706076
linear,3.248,0.9181918197505254
linear,3.2520000000000002,0.920113087448817
linear,3.2560000000000002,0.9220968225394313
linear,3.2600000000000002,0.9241408396111128
linear,3.2640000000000002,0.9262428833512487
linear,3.2680000000000002,0.928400637428331
linear,3.2720000000000002,0.930611733580459
linear,3.2760000000000002,0.9328737609500728
linear,3.2800000000000002,0.9351842757218671
linear,3.2840000000000003,0.9375408111197403
linear,3.2880000000000003,0.939940887800377
linear,3.2920000000000003,0.9423820246485439
linear,3.2960000000000003,0.9448617499371036
linear,3.3000000000000003,0.9473776127687449
linear,3.3040000000000003,0.949927194672175
linear,3.3080000000000003,0.952508121188076
linear,3.3120000000000003,0.9551180732531603
linear,3.3160000000000003,0.957754798176202
linear,3.3200000000000003,0.9604161199983647
linear,3.3240000000000003,0.9630999490403049
linear,3.3280000000000003,0.9658042904580967
linear,3.332,0.9685272516561325
linear,3.336,0.9712670484345903
linear,3.34,0.974022009778945
linear,3.344,0.9767905812269619
linear,3.348,0.9795713267728254
linear,3.352,0.9823629292876905
linear,3.356,0.9851641894506183
linear,3.36,0.9879740231940994
