system,offset,t_normalised,relative_separation,amplification
projectile,1e-10,0.5939849624060151,8.400218220146209e-11,0.840021822014621
projectile,1e-10,0.5964912280701755,8.435671031114622e-11,0.8435671031114622
projectile,1e-10,0.5989974937343359,8.471113706910886e-11,0.8471113706910887
projectile,1e-10,0.6015037593984962,8.506546247547153e-11,0.8506546247547153
projectile,1e-10,0.6040100250626567,8.541999058515591e-11,0.8541999058515591
projectile,1e-10,0.606516290726817,8.577436666736399e-11,0.8577436666736398
projectile,1e-10,0.6090225563909775,8.612884410120296e-11,0.8612884410120296
projectile,1e-10,0.6115288220551378,8.648332153507176e-11,0.8648332153507176
projectile,1e-10,0.6140350877192983,8.683769761725001e-11,0.8683769761725001
projectile,1e-10,0.6165413533834587,8.719212437533244e-11,0.8719212437533245
projectile,1e-10,0.619047619047619,8.754670316080301e-11,0.8754670316080301
projectile,1e-10,0.6215538847117794,8.790107924298143e-11,0.8790107924298143
projectile,1e-10,0.6240601503759399,8.825545532518908e-11,0.8825545532518908
projectile,1e-10,0.6265664160401002,8.860993275902848e-11,0.8860993275902848
projectile,1e-10,0.6290726817042607,8.896441019289687e-11,0.8896441019289688
projectile,1e-10,0.631578947368421,8.931878627507553e-11,0.8931878627507552
projectile,1e-10,0.6340852130325815,8.967331438475992e-11,0.8967331438475992
projectile,1e-10,0.6365914786967419,9.002779181862813e-11,0.9002779181862813
projectile,1e-10,0.6390977443609022,9.038206654920293e-11,0.9038206654920292
projectile,1e-10,0.6416040100250626,9.07365946588871e-11,0.907365946588871
projectile,1e-10,0.6441102756892231,9.109112276857125e-11,0.9109112276857126
projectile,1e-10,0.6466165413533834,9.14454481749337e-11,0.914454481749337
projectile,1e-10,0.6491228070175439,9.179987493290107e-11,0.9179987493290107
projectile,1e-10,0.6516290726817043,9.215430169098032e-11,0.9215430169098031
projectile,1e-10,0.6541353383458647,9.250882980066449e-11,0.9250882980066449
projectile,1e-10,0.656641604010025,9.286325655863249e-11,0.9286325655863249
projectile,1e-10,0.6591478696741854,9.321758196499517e-11,0.9321758196499517
projectile,1e-10,0.6616541353383458,9.357211007467954e-11,0.9357211007467954
projectile,1e-10,0.6641604010025063,9.392663818436393e-11,0.9392663818436393
projectile,1e-10,0.6666666666666666,9.428096359072659e-11,0.9428096359072659
projectile,1e-10,0.6691729323308271,9.463528899708926e-11,0.9463528899708926
projectile,1e-10,0.6716791979949875,9.498991845848856e-11,0.9498991845848855
projectile,1e-10,0.6741854636591479,9.534434521645803e-11,0.9534434521645803
projectile,1e-10,0.6766917293233082,9.569867062282068e-11,0.9569867062282068
projectile,1e-10,0.6791979949874686,9.605309738089768e-11,0.9605309738089768
projectile,1e-10,0.681704260651629,9.640772684218945e-11,0.9640772684218945
projectile,1e-10,0.6842105263157895,9.676205224855213e-11,0.9676205224855212
projectile,1e-10,0.6867167919799498,9.711637765491478e-11,0.9711637765491478
projectile,1e-10,0.6892230576441103,9.747090576459915e-11,0.9747090576459916
projectile,1e-10,0.6917293233082707,9.782543387428355e-11,0.9782543387428355
projectile,1e-10,0.6942355889724311,9.81797592806462e-11,0.9817975928064621
projectile,1e-10,0.6967418546365914,9.853418603872186e-11,0.9853418603872186
projectile,1e-10,0.6992481203007518,9.888871414840605e-11,0.9888871414840605
projectile,1e-10,0.7017543859649122,9.924314090637764e-11,0.9924314090637765
projectile,1e-10,0.7042606516290727,9.95974663127403e-11,0.995974663127403
projectile,1e-10,0.706766917293233,9.995199442242469e-11,0.999519944224247
projectile,1e-10,0.7092731829573935,1.0030652253210906e-10,1.0030652253210908
projectile,1e-10,0.711779448621554,1.0066084793847174e-10,1.0066084793847174
projectile,1e-10,0.7142857142857143,1.010151733448344e-10,1.0101517334483439
projectile,1e-10,0.7167919799498746,1.0136980280623031e-10,1.0136980280623031
projectile,1e-10,0.719298245614035,1.0172422956420316e-10,1.0172422956420317
projectile,1e-10,0.7218045112781954,1.0207855497056584e-10,1.0207855497056584
projectile,1e-10,0.7243107769423559,1.0243308308025021e-10,1.024330830802502
projectile,1e-10,0.7268170426065163,1.027876111899346e-10,1.027876111899346
projectile,1e-10,0.7293233082706767,1.0314193659629726e-10,1.0314193659629727
projectile,1e-10,0.7318295739348372,1.0349646470598165e-10,1.0349646470598166
projectile,1e-10,0.7343358395989975,1.0385099281566603e-10,1.0385099281566603
projectile,1e-10,0.7368421052631579,1.042053182220287e-10,1.042053182220287
projectile,1e-10,0.7393483709273183,1.0455974498010134e-10,1.0455974498010134
projectile,1e-10,0.7418546365914787,1.0491407038646385e-10,1.0491407038646385
projectile,1e-10,0.7443609022556391,1.0526859849614806e-10,1.0526859849614805
projectile,1e-10,0.7468671679197995,1.056230252541228e-10,1.056230252541228
projectile,1e-10,0.7493734335839599,1.0597745201219478e-10,1.059774520121948
projectile,1e-10,0.7518796992481204,1.0633187877016985e-10,1.0633187877016985
projectile,1e-10,0.7543859649122807,1.0668640687985422e-10,1.0668640687985422
projectile,1e-10,0.7568922305764411,1.070407322862169e-10,1.0704073228621689
projectile,1e-10,0.7593984962406015,1.0739526039590127e-10,1.0739526039590126
projectile,1e-10,0.7619047619047619,1.0774978850558566e-10,1.0774978850558565
projectile,1e-10,0.7644110275689223,1.0810411391194832e-10,1.0810411391194832
projectile,1e-10,0.7669172932330827,1.08458439318311e-10,1.0845843931831098
projectile,1e-10,0.7694235588972431,1.0881296742799537e-10,1.0881296742799536
projectile,1e-10,0.7719298245614036,1.0916739418606593e-10,1.0916739418606594
projectile,1e-10,0.7744360902255639,1.0952182094404242e-10,1.0952182094404241
projectile,1e-10,0.7769423558897243,1.098763490537268e-10,1.0987634905372679
projectile,1e-10,0.7794486215538847,1.1023067446008947e-10,1.1023067446008947
projectile,1e-10,0.7819548872180451,1.1058520256977384e-10,1.1058520256977384
projectile,1e-10,0.7844611528822055,1.1093973067945823e-10,1.1093973067945824
projectile,1e-10,0.7869674185463659,1.112941574375279e-10,1.112941574375279
projectile,1e-10,0.7894736842105263,1.1164858419550528e-10,1.1164858419550527
projectile,1e-10,0.7919799498746868,1.1200290960186793e-10,1.1200290960186794
projectile,1e-10,0.7944862155388471,1.1235733635993718e-10,1.1235733635993717
projectile,1e-10,0.7969924812030075,1.1271176311791498e-10,1.1271176311791498
projectile,1e-10,0.7994987468671679,1.1306629122759938e-10,1.1306629122759937
projectile,1e-10,0.8020050125313283,1.1342061663396203e-10,1.1342061663396203
projectile,1e-10,0.8045112781954887,1.1377514474364643e-10,1.1377514474364643
projectile,1e-10,0.8070175438596492,1.1412947015000908e-10,1.1412947015000907
projectile,1e-10,0.8095238095238095,1.1448399825969347e-10,1.1448399825969346
projectile,1e-10,0.81203007518797,1.1483852636937784e-10,1.1483852636937786
projectile,1e-10,0.8145363408521303,1.1519295312744596e-10,1.1519295312744597
projectile,1e-10,0.8170426065162907,1.1554737988542489e-10,1.155473798854249
projectile,1e-10,0.8195488721804511,1.1590190799510929e-10,1.1590190799510929
projectile,1e-10,0.8220551378446115,1.1625623340147194e-10,1.1625623340147195
projectile,1e-10,0.8245614035087719,1.1661055880783461e-10,1.1661055880783462
projectile,1e-10,0.8270676691729324,1.1696528962084072e-10,1.1696528962084072
projectile,1e-10,0.8295739348370927,1.173196150272034e-10,1.1731961502720338
projectile,1e-10,0.8320802005012532,1.1767394043356604e-10,1.1767394043356605
projectile,1e-10,0.8345864661654135,1.1802846854325043e-10,1.1802846854325044
projectile,1e-10,0.8370927318295739,1.1838299665293482e-10,1.1838299665293481
projectile,1e-10,0.8395989974937343,1.187373220592975e-10,1.1873732205929748
projectile,1e-10,0.8421052631578947,1.1909164746566014e-10,1.1909164746566014
projectile,1e-10,0.8446115288220551,1.1944617557534453e-10,1.1944617557534454
projectile,1e-10,0.8471177944862156,1.1980070368502891e-10,1.198007036850289
projectile,1e-10,0.849624060150376,1.201550290913916e-10,1.2015502909139157
projectile,1e-10,0.8521303258145364,1.2050935449775424e-10,1.2050935449775424
projectile,1e-10,0.8546365914786966,1.2086388260743862e-10,1.2086388260743863
projectile,1e-10,0.8571428571428572,1.2121841071712301e-10,1.21218410717123
projectile,1e-10,0.8596491228070174,1.2157293882680738e-10,1.2157293882680738
projectile,1e-10,0.8621553884711779,1.2192726423317005e-10,1.2192726423317004
projectile,1e-10,0.8646616541353384,1.2228179234285444e-10,1.2228179234285443
projectile,1e-10,0.8671679197994988,1.2263611774921709e-10,1.226361177492171
projectile,1e-10,0.8696741854636593,1.2299064585890147e-10,1.2299064585890147
projectile,1e-10,0.8721804511278195,1.2334497126526415e-10,1.2334497126526414
projectile,1e-10,0.8746867167919798,1.236994993749485e-10,1.2369949937494853
projectile,1e-10,0.8771929824561403,1.2405382478131118e-10,1.240538247813112
projectile,1e-10,0.8796992481203008,1.2440835289099557e-10,1.2440835289099557
projectile,1e-10,0.8822055137844612,1.2476288100067996e-10,1.2476288100067996
projectile,1e-10,0.8847117794486217,1.251172064070426e-10,1.2511720640704262
projectile,1e-10,0.8872180451127819,1.2547173451672702e-10,1.2547173451672702
projectile,1e-10,0.8897243107769424,1.2582616127479136e-10,1.2582616127479136
projectile,1e-10,0.8922305764411027,1.2618058803277406e-10,1.2618058803277405
projectile,1e-10,0.8947368421052632,1.265349134391367e-10,1.2653491343913672
projectile,1e-10,0.8972431077694236,1.268894415488211e-10,1.2688944154882111
projectile,1e-10,0.8997493734335839,1.2724376695518377e-10,1.2724376695518376
projectile,1e-10,0.9022556390977443,1.2759829506486816e-10,1.2759829506486815
projectile,1e-10,0.9047619047619048,1.279526204712308e-10,1.2795262047123082
projectile,1e-10,0.9072681704260652,1.283071485809152e-10,1.283071485809152
