system,model,t_normalised,relative_error
projectile,poly2,0.4221105527638191,8.505720781885875e-11
projectile,poly2,0.4271356783919598,8.534031916210672e-11
projectile,poly2,0.4321608040201005,8.562294695629592e-11
projectile,poly2,0.4371859296482412,8.590490104954692e-11
projectile,poly2,0.44221105527638194,8.618670375965489e-11
projectile,poly2,0.4472361809045226,8.646877560157218e-11
projectile,poly2,0.45226130653266333,8.675069993096147e-11
projectile,poly2,0.457286432160804,8.703335367742053e-11
projectile,poly2,0.4623115577889447,8.731645256289207e-11
projectile,poly2,0.46733668341708545,8.760008665063925e-11
projectile,poly2,0.4723618090452261,8.788475020864503e-11
projectile,poly2,0.47738693467336685,8.817046098061297e-11
projectile,poly2,0.4824120603015075,8.84570288951038e-11
projectile,poly2,0.48743718592964824,8.874497547683437e-11
projectile,poly2,0.49246231155778897,8.903410147361943e-11
projectile,poly2,0.49748743718592964,8.932467532644432e-11
projectile,poly2,0.5025125628140703,8.961665668186451e-11
projectile,poly2,0.507537688442211,8.990989339523601e-11
projectile,poly2,0.5125628140703518,9.020503344572464e-11
projectile,poly2,0.5175879396984925,9.050166908123494e-11
projectile,poly2,0.5226130653266332,9.079985848664671e-11
projectile,poly2,0.5276381909547738,9.109974987280751e-11
projectile,poly2,0.5326633165829145,9.140115518698033e-11
projectile,poly2,0.5376884422110553,9.170423991626979e-11
projectile,poly2,0.542713567839196,9.200900722124521e-11
projectile,poly2,0.5477386934673367,9.231526483194514e-11
projectile,poly2,0.5527638190954774,9.262320001139391e-11
projectile,poly2,0.5577889447236181,9.29325014050677e-11
projectile,poly2,0.5628140703517588,9.324321994203665e-11
projectile,poly2,0.5678391959798995,9.355556102908163e-11
projectile,poly2,0.5728643216080402,9.386893471807305e-11
projectile,poly2,0.577889447236181,9.418380502375781e-11
projectile,poly2,0.5829145728643216,9.449992386311804e-11
projectile,poly2,0.5879396984924623,9.481670726114352e-11
projectile,poly2,0.592964824120603,9.513470030268515e-11
projectile,poly2,0.5979899497487438,9.545361421273926e-11
projectile,poly2,0.6030150753768845,9.577314134661933e-11
projectile,poly2,0.6080402010050251,9.60933895360378e-11
projectile,poly2,0.6130653266331658,9.641395193920115e-11
projectile,poly2,0.6180904522613065,9.673486168642688e-11
projectile,poly2,0.6231155778894473,9.70560957255042e-11
projectile,poly2,0.628140703517588,9.737723956581513e-11
projectile,poly2,0.6331658291457286,9.769838770994173e-11
projectile,poly2,0.6381909547738693,9.801922114679245e-11
projectile,poly2,0.6432160804020101,9.8339582366413e-11
projectile,poly2,0.6482412060301508,9.865930189126902e-11
projectile,poly2,0.6532663316582915,9.897834156876043e-11
projectile,poly2,0.6582914572864321,9.92964014929456e-11
projectile,poly2,0.6633165829145728,9.961326699745944e-11
projectile,poly2,0.6683417085427136,9.992873098489475e-11
projectile,poly2,0.6733668341708543,1.002427033430212e-10
projectile,poly2,0.678391959798995,1.0055476643604357e-10
projectile,poly2,0.6834170854271356,1.0086508828558133e-10
projectile,poly2,0.6884422110552764,1.0117326012773896e-10
projectile,poly2,0.6934673366834171,1.0147869060170687e-10
projectile,poly2,0.6984924623115578,1.0178188331676543e-10
projectile,poly2,0.7035175879396985,1.0208217168658364e-10
projectile,poly2,0.7085427135678392,1.0237932803060146e-10
projectile,poly2,0.7135678391959799,1.0267345324382678e-10
projectile,poly2,0.7185929648241206,1.029640747944328e-10
projectile,poly2,0.7236180904522613,1.0325090177328512e-10
projectile,poly2,0.7286432160804021,1.0353402563911506e-10
projectile,poly2,0.7336683417085427,1.0381303165973387e-10
projectile,poly2,0.7386934673366834,1.0408768864297659e-10
projectile,poly2,0.7437185929648241,1.0435800904724245e-10
projectile,poly2,0.7487437185929648,1.0462346809142347e-10
projectile,poly2,0.7537688442211056,1.0488415807286346e-10
projectile,poly2,0.7587939698492463,1.0513971668308681e-10
projectile,poly2,0.7638190954773869,1.0539019210504176e-10
projectile,poly2,0.7688442211055276,1.0563522474616386e-10
projectile,poly2,0.7738693467336684,1.0587465596039402e-10
projectile,poly2,0.7788944723618091,1.0610853529517014e-10
projectile,poly2,0.7839195979899498,1.0633642667739968e-10
projectile,poly2,0.7889447236180904,1.0655855558131613e-10
projectile,poly2,0.7939698492462312,1.0677467208098829e-10
projectile,poly2,0.7989949748743719,1.0698452061857013e-10
projectile,poly2,0.8040201005025126,1.0718825610719097e-10
projectile,poly2,0.8090452261306533,1.0738588528758668e-10
projectile,poly2,0.8140703517587939,1.0757708309612766e-10
projectile,poly2,0.8190954773869347,1.077622401462915e-10
projectile,poly2,0.8241206030150754,1.0794124338600809e-10
projectile,poly2,0.8291457286432161,1.0811406687090235e-10
projectile,poly2,0.8341708542713568,1.082812402570726e-10
projectile,poly2,0.8391959798994975,1.0844258955169901e-10
projectile,poly2,0.8442211055276382,1.0859848151954541e-10
projectile,poly2,0.8492462311557789,1.0874958870127912e-10
projectile,poly2,0.8542713567839196,1.0889605971509998e-10
projectile,poly2,0.8592964824120604,1.090387837819332e-10
projectile,poly2,0.864321608040201,1.0917857493910288e-10
projectile,poly2,0.8693467336683417,1.0931599815512094e-10
projectile,poly2,0.8743718592964824,1.0945270654050228e-10
projectile,poly2,0.8793969849246231,1.0958999781760085e-10
projectile,poly2,0.8844221105527639,1.0972905300103725e-10
projectile,poly2,0.8894472361809045,1.0987210212312669e-10
projectile,poly2,0.8944723618090452,1.100207031303657e-10
projectile,poly2,0.8994974874371859,1.1017554622510626e-10
projectile,poly2,0.9045226130653267,1.1033897457926881e-10
projectile,poly2,0.9095477386934674,1.1051159673218628e-10
projectile,poly2,0.914572864321608,1.1069294230899957e-10
projectile,poly2,0.9195979899497487,1.1088447012586837e-10
projectile,poly2,0.9246231155778895,1.1108512566449124e-10
projectile,poly2,0.9296482412060302,1.1129516462755499e-10
projectile,poly2,0.9346733668341709,1.1151542586365096e-10
projectile,poly2,0.9396984924623115,1.1174702672202608e-10
projectile,poly2,0.9447236180904522,1.1199151134561452e-10
projectile,poly2,0.949748743718593,1.1225289876793957e-10
projectile,poly2,0.9547738693467337,1.1253303486672624e-10
projectile,poly2,0.9597989949748744,1.1283711795302966e-10
projectile,poly2,0.964824120603015,1.1316956518316094e-10
projectile,poly2,0.9698492462311558,1.1352875214441983e-10
projectile,poly2,0.9748743718592965,1.1391656492759578e-10
projectile,poly2,0.9798994974874372,1.1433080360117861e-10
projectile,poly2,0.9849246231155779,1.1476749429502603e-10
projectile,poly2,0.9899497487437187,1.1522538024244686e-10
projectile,poly2,0.9949748743718593,1.1570095736119748e-10
projectile,poly2,1.0,1.1593650757918873e-10
projectile,forest,0.0,0.0
projectile,forest,0.005025125628140704,4.3442149208478115e-05
projectile,forest,0.010050251256281407,8.640695320887148e-05
projectile,forest,0.01507537688442211,0.00012515778314051178
projectile,forest,0.020100502512562814,0.00016032112536950408
projectile,forest,0.02512562814070352,0.00019501466017174035
projectile,forest,0.03015075376884422,0.00022923001654337341
projectile,forest,0.035175879396984924,0.00026352705904524206
projectile,forest,0.04020100502512563,0.00029632886359202374
projectile,forest,0.04522613065326633,0.00032278442564028246
projectile,forest,0.05025125628140704,0.0003510011797087181
projectile,forest,0.05527638190954774,0.0003818895522014807
projectile,forest,0.06030150753768844,0.00040881174877370664
projectile,forest,0.06532663316582915,0.0004345272518921256
projectile,forest,0.07035175879396985,0.0004586529268996449
projectile,forest,0.07537688442211056,0.0004828774918021637
projectile,forest,0.08040201005025126,0.0005062947191511823
projectile,forest,0.08542713567839195,0.0005281894977439355
projectile,forest,0.09045226130653267,0.0005499503966531758
projectile,forest,0.09547738693467336,0.0005748664416952922
projectile,forest,0.10050251256281408,0.0005973599229330622
projectile,forest,0.10552763819095477,0.0006198824157458748
projectile,forest,0.11055276381909548,0.0006453852656621795
projectile,forest,0.11557788944723618,0.0006723405822611508
projectile,forest,0.12060301507537688,0.0006973945392946564
projectile,forest,0.12562814070351758,0.0007238379817998222
projectile,forest,0.1306532663316583,0.0007502416318963111
projectile,forest,0.135678391959799,0.0007750839022999596
projectile,forest,0.1407035175879397,0.0007977618240567113
projectile,forest,0.1457286432160804,0.0008189161038181112
projectile,forest,0.15075376884422112,0.0008410588281945374
projectile,forest,0.15577889447236182,0.0008621701208277469
projectile,forest,0.16080402010050251,0.0008843434649023804
projectile,forest,0.1658291457286432,0.0009080857420550068
projectile,forest,0.1708542713567839,0.0009323489383300737
projectile,forest,0.17587939698492464,0.0009556449358600237
projectile,forest,0.18090452261306533,0.0009775377872529292
projectile,forest,0.18592964824120603,0.0010001953240893757
projectile,forest,0.19095477386934673,0.0010237512564233613
projectile,forest,0.19597989949748745,0.0010492223456883107
projectile,forest,0.20100502512562815,0.0010720670328290911
projectile,forest,0.20603015075376885,0.0010916305717562917
projectile,forest,0.21105527638190955,0.0011094501836992562
projectile,forest,0.21608040201005024,0.0011280354828108847
projectile,forest,0.22110552763819097,0.0011437559705570557
projectile,forest,0.22613065326633167,0.0011574818411519542
projectile,forest,0.23115577889447236,0.0011693018812916419
projectile,forest,0.23618090452261306,0.0011783076028673233
projectile,forest,0.24120603015075376,0.0011873632121179012
projectile,forest,0.24623115577889448,0.0011969140943214407
projectile,forest,0.25125628140703515,0.0012100701942375364
projectile,forest,0.2562814070351759,0.0012248274968753913
projectile,forest,0.2613065326633166,0.001238764692367232
projectile,forest,0.2663316582914573,0.0012537313442458839
projectile,forest,0.271356783919598,0.001268249533259928
projectile,forest,0.2763819095477387,0.0012789551630597734
projectile,forest,0.2814070351758794,0.0012881341337590434
projectile,forest,0.2864321608040201,0.0012971009643516506
projectile,forest,0.2914572864321608,0.0013063064130551133
projectile,forest,0.2964824120603015,0.001313752513545106
projectile,forest,0.30150753768844224,0.001318128008739767
projectile,forest,0.3065326633165829,0.0013225320199091932
projectile,forest,0.31155778894472363,0.001327413702866059
projectile,forest,0.3165829145728643,0.001337126496922096
projectile,forest,0.32160804020100503,0.0013480324313354234
projectile,forest,0.32663316582914576,0.0013591366751361305
projectile,forest,0.3316582914572864,0.0013703902099135236
projectile,forest,0.33668341708542715,0.0013786933821719769
projectile,forest,0.3417085427135678,0.0013913439570573853
projectile,forest,0.34673366834170855,0.0014010867038783013
projectile,forest,0.35175879396984927,0.0014108134204078538
projectile,forest,0.35678391959798994,0.0014214443567879685
projectile,forest,0.36180904522613067,0.0014309512393530887
projectile,forest,0.36683417085427134,0.0014425802057965197
projectile,forest,0.37185929648241206,0.0014566782843045988
projectile,forest,0.3768844221105528,0.0014677062930851341
projectile,forest,0.38190954773869346,0.001477608443073414
projectile,forest,0.3869346733668342,0.0014899556219898518
projectile,forest,0.3919597989949749,0.0015022324661584034
projectile,forest,0.3969849246231156,0.0015135689532577046
projectile,forest,0.4020100502512563,0.001523468995856188
projectile,forest,0.40703517587939697,0.0015307311503854172
projectile,forest,0.4120603015075377,0.0015377672127472016
projectile,forest,0.4170854271356784,0.0015438932221044463
projectile,forest,0.4221105527638191,0.0015507137217427441
projectile,forest,0.4271356783919598,0.0015566032147821115
projectile,forest,0.4321608040201005,0.0015599805699355927
projectile,forest,0.4371859296482412,0.001562059448378628
projectile,forest,0.44221105527638194,0.0015685573750513376
projectile,forest,0.4472361809045226,0.0015759535709899415
projectile,forest,0.45226130653266333,0.001585223093506559
projectile,forest,0.457286432160804,0.0015956399827393105
projectile,forest,0.4623115577889447,0.0016049299683518633
projectile,forest,0.46733668341708545,0.0016137835581308574
projectile,forest,0.4723618090452261,0.0016230612820601256
projectile,forest,0.47738693467336685,0.001626916422428535
projectile,forest,0.4824120603015075,0.0016300852909120222
projectile,forest,0.48743718592964824,0.0016363605754470898
projectile,forest,0.49246231155778897,0.0016430306329409034
projectile,forest,0.49748743718592964,0.0016478338042765245
projectile,forest,0.5025125628140703,0.0016535696875991021
projectile,forest,0.507537688442211,0.0016602086986639223
projectile,forest,0.5125628140703518,0.0016683171743927566
projectile,forest,0.5175879396984925,0.0016758284654661113
projectile,forest,0.5226130653266332,0.001680848393675511
projectile,forest,0.5276381909547738,0.0016871549879177306
projectile,forest,0.5326633165829145,0.0016913668624829222
projectile,forest,0.5376884422110553,0.001695834549754731
projectile,forest,0.542713567839196,0.0017019741454518376
