model,t,mean,median,q25,q75,escaped_fraction
linear,1.052,0.927374291538946,0.9483988978415703,0.759734070585816,1.0838514368015555,0.0
linear,1.056,0.9293918643971703,0.9532897032719174,0.7633486006939395,1.0863323192734133,0.0
linear,1.06,0.9314685051254876,0.9582583042995396,0.7670857432386288,1.0888792581560638,0.0
linear,1.064,0.9336045166250537,0.9633060171106573,0.7709460585057659,1.0914907883394063,0.0
linear,1.068,0.9358000086754977,0.968434048709013,0.7749298837922403,1.0941650917014027,0.0
linear,1.072,0.938054894072405,0.9736434914889377,0.7790373310376739,1.096899976478918,0.0
linear,1.076,0.9403688853345196,0.9789353180950557,0.7832682853098822,1.0996928564870159,0.0
linear,1.08,0.9427414920080377,0.9843103765876673,0.7876224041289527,1.1025407303280894,0.0
linear,1.084,0.9451720186027629,0.9897693859313691,0.7920991176086349,1.1054401607606004,0.0
linear,1.088,0.9476595632031201,0.9953129318228744,0.7968581966898411,1.1083872544298565,0.0
linear,1.092,0.9502030168056542,1.000941462872335,0.8032071148635571,1.111377642200529,0.0
linear,1.096,0.9528010634431283,1.0066552871507055,0.8096779126786136,1.114406460372798,0.0
linear,1.1,0.9554521811631032,1.0124545691138986,0.8162673561206766,1.1174683331113213,0.0
linear,1.104,0.9581546439353111,1.018339326912638,0.8229719571149343,1.117895170548926,0.0
linear,1.108,0.9609065245665483,1.0243094300950537,0.8297879814377918,1.1180563995884718,0.0
linear,1.112,0.9637056987035868,1.0303645977071922,0.8367114573466893,1.1182191357443045,0.0
linear,1.116,0.9665498500030962,1.0365043967947658,0.8437381848707501,1.1184601948950337,0.0
linear,1.12,0.9694364765422889,1.0427282413076293,0.8508637457047497,1.119555884866848,0.0
linear,1.124,0.9723628985345236,1.049035391406694,0.8530892342987628,1.1223641849924617,0.0
linear,1.1280000000000001,0.9753262674003039,1.0554249531712518,0.8543834165245597,1.125150055613159,0.0
linear,1.1320000000000001,0.9783235762260466,1.061895878703038,0.8555026593401072,1.1279038172236684,0.0
